id,question,choice(c),correct answer,which concept this question belongs to,times_appeared,times_correct
270,Which statement avoids confusing why top layers are fine-tuned with another neural-network component?,A. top layers contain the raw pixels | B. fine-tuning only changes the validation labels | C. bottom layers have no generic edge detectors | D. top layers encode more specialized features that may need task adjustment,D,Fine-tuning,0,0
271,Which option best describes intermediate activations?,A. show the mean and variance of a VAE only | B. show the CSV history counters | C. show feature maps produced by layers for a particular input | D. show which mini-batches were shuffled by SGD,C,CNN visualization,0,0
272,A classmate asks about intermediate activations. Which answer is most accurate?,A. show which mini-batches were shuffled by SGD | B. show the mean and variance of a VAE only | C. show feature maps produced by layers for a particular input | D. show the CSV history counters,C,CNN visualization,0,0
273,"In the lecture framework, what is the main role of intermediate activations?",A. show feature maps produced by layers for a particular input | B. show the mean and variance of a VAE only | C. show which mini-batches were shuffled by SGD | D. show the CSV history counters,A,CNN visualization,0,0
274,Which statement avoids confusing intermediate activations with another neural-network component?,A. show the CSV history counters | B. show which mini-batches were shuffled by SGD | C. show the mean and variance of a VAE only | D. show feature maps produced by layers for a particular input,D,CNN visualization,0,0
275,Which option best describes a feature map?,A. is a spatial response grid showing where a filter activated | B. is the number of epochs used in training | C. is the final CSV row for a question | D. is the random vector used to start a GAN,A,Feature maps,0,0
276,A classmate asks about a feature map. Which answer is most accurate?,A. is the number of epochs used in training | B. is the random vector used to start a GAN | C. is a spatial response grid showing where a filter activated | D. is the final CSV row for a question,C,Feature maps,0,0
277,"In the lecture framework, what is the main role of a feature map?",A. is the random vector used to start a GAN | B. is a spatial response grid showing where a filter activated | C. is the number of epochs used in training | D. is the final CSV row for a question,B,Feature maps,0,0
278,Which statement avoids confusing a feature map with another neural-network component?,A. is the number of epochs used in training | B. is the final CSV row for a question | C. is a spatial response grid showing where a filter activated | D. is the random vector used to start a GAN,C,Feature maps,0,0
279,Which option best describes filter visualization?,A. identifies which final class had the highest probability only | B. counts how often a mock question was answered correctly | C. chooses the train-test split | D. finds an input pattern that strongly activates a selected filter,D,Filter visualization,1,0
280,A classmate asks about filter visualization. Which answer is most accurate?,A. chooses the train-test split | B. identifies which final class had the highest probability only | C. counts how often a mock question was answered correctly | D. finds an input pattern that strongly activates a selected filter,D,Filter visualization,0,0
281,"In the lecture framework, what is the main role of filter visualization?",A. chooses the train-test split | B. identifies which final class had the highest probability only | C. counts how often a mock question was answered correctly | D. finds an input pattern that strongly activates a selected filter,D,Filter visualization,0,0
282,Which statement avoids confusing filter visualization with another neural-network component?,A. counts how often a mock question was answered correctly | B. finds an input pattern that strongly activates a selected filter | C. chooses the train-test split | D. identifies which final class had the highest probability only,B,Filter visualization,0,0
283,Which option best describes a class activation heatmap?,A. shows which image regions supported a specific class prediction | B. shows every mini-batch used during SGD | C. is the same as the generated image in a GAN | D. is the one-hot vector for a class label,A,Class activation heatmaps,0,0
284,A classmate asks about a class activation heatmap. Which answer is most accurate?,A. is the same as the generated image in a GAN | B. shows which image regions supported a specific class prediction | C. shows every mini-batch used during SGD | D. is the one-hot vector for a class label,B,Class activation heatmaps,0,0
285,"In the lecture framework, what is the main role of a class activation heatmap?",A. is the same as the generated image in a GAN | B. shows every mini-batch used during SGD | C. is the one-hot vector for a class label | D. shows which image regions supported a specific class prediction,D,Class activation heatmaps,0,0
286,Which statement avoids confusing a class activation heatmap with another neural-network component?,A. shows every mini-batch used during SGD | B. is the same as the generated image in a GAN | C. shows which image regions supported a specific class prediction | D. is the one-hot vector for a class label,C,Class activation heatmaps,0,0
287,Which option best describes latent space?,A. the original high-resolution pixel grid only | B. the list of optimizer names | C. a lower-dimensional representation where important hidden factors of data are encoded | D. the final validation accuracy table,C,Latent spaces,0,0
288,A classmate asks about latent space. Which answer is most accurate?,A. the list of optimizer names | B. the original high-resolution pixel grid only | C. a lower-dimensional representation where important hidden factors of data are encoded | D. the final validation accuracy table,C,Latent spaces,0,0
289,"In the lecture framework, what is the main role of latent space?",A. the original high-resolution pixel grid only | B. a lower-dimensional representation where important hidden factors of data are encoded | C. the final validation accuracy table | D. the list of optimizer names,B,Latent spaces,0,0
290,Which statement avoids confusing latent space with another neural-network component?,A. the original high-resolution pixel grid only | B. the list of optimizer names | C. the final validation accuracy table | D. a lower-dimensional representation where important hidden factors of data are encoded,D,Latent spaces,0,0
291,Which option best describes a regular latent space?,"A. contains only hard class labels | B. maps nearby latent points to meaningful, smoothly related outputs | C. maps every point to unrelated random images | D. prevents any sampling from being possible",B,Latent spaces,0,0
292,A classmate asks about a regular latent space. Which answer is most accurate?,"A. contains only hard class labels | B. maps every point to unrelated random images | C. maps nearby latent points to meaningful, smoothly related outputs | D. prevents any sampling from being possible",C,Latent spaces,0,0
293,"In the lecture framework, what is the main role of a regular latent space?","A. prevents any sampling from being possible | B. contains only hard class labels | C. maps every point to unrelated random images | D. maps nearby latent points to meaningful, smoothly related outputs",D,Latent spaces,0,0
294,Which statement avoids confusing a regular latent space with another neural-network component?,"A. maps nearby latent points to meaningful, smoothly related outputs | B. prevents any sampling from being possible | C. contains only hard class labels | D. maps every point to unrelated random images",A,Latent spaces,0,0
295,Which option best describes an autoencoder encoder?,A. selects the learning rate | B. compresses an input into a latent representation | C. performs max pooling over final probabilities | D. judges whether generated images are fake,B,Autoencoders,0,0
296,A classmate asks about an autoencoder encoder. Which answer is most accurate?,A. performs max pooling over final probabilities | B. selects the learning rate | C. compresses an input into a latent representation | D. judges whether generated images are fake,C,Autoencoders,0,0
297,"In the lecture framework, what is the main role of an autoencoder encoder?",A. performs max pooling over final probabilities | B. judges whether generated images are fake | C. compresses an input into a latent representation | D. selects the learning rate,C,Autoencoders,0,0
298,Which statement avoids confusing an autoencoder encoder with another neural-network component?,A. compresses an input into a latent representation | B. selects the learning rate | C. performs max pooling over final probabilities | D. judges whether generated images are fake,A,Autoencoders,0,0
299,Which option best describes an autoencoder decoder?,A. turns class logits into a probability distribution | B. reconstructs the input from the latent representation | C. updates weights using the gradient | D. chooses which examples enter the test set,B,Autoencoders,0,0
300,A classmate asks about an autoencoder decoder. Which answer is most accurate?,A. updates weights using the gradient | B. turns class logits into a probability distribution | C. chooses which examples enter the test set | D. reconstructs the input from the latent representation,D,Autoencoders,1,0
